temperature,humidity_env,soil_moisture,volume_ml
30.73,82.39,27.93,31
14.59,88.11,29.53,33
25.74,84.47,19.92,32
17.2,30.92,62.48,14
22.26,87.26,41.94,24
33.29,61.58,14.26,44
26.07,79.48,84.14,0
38.91,93.67,59.9,2
13.22,94.17,71.3,0
15.36,56.92,94.08,0
18.55,85.4,31.56,19
19.57,89.66,27.54,31
38.52,41.58,48.56,33
31.21,99.02,87.96,0
34.24,62.96,89.4,0
15.77,26.85,28.43,42
28.09,52.79,34.53,26
39.72,38.88,37.46,41
37.23,99.59,79.33,0
29.0,67.44,65.43,3
19.86,29.77,3.9,47
24.06,40.54,27.88,44
24.06,74.12,62.62,16
12.74,89.46,45.4,21
32.82,68.62,20.38,43
14.18,66.4,59.06,10
24.17,38.53,38.04,25
35.66,35.96,45.62,50
17.39,54.95,71.85,0
24.62,20.26,71.26,0
25.77,68.28,54.45,20
23.82,61.52,51.11,10
20.37,28.33,52.02,4
33.98,72.07,0.38,44
33.13,38.45,28.71,50
39.1,99.01,6.27,39
35.75,54.47,15.45,48
26.66,41.81,1.43,45
37.28,70.07,11.48,43
11.03,45.5,52.34,12
17.43,59.86,5.11,44
15.6,60.6,12.63,49
12.33,57.08,86.56,0
31.48,67.23,49.75,37
15.17,26.35,49.67,23
28.6,96.77,47.0,11
10.94,24.63,91.51,0
23.25,20.4,11.61,45
38.1,80.88,69.42,7
34.38,89.45,44.04,15
18.8,23.15,38.42,21
21.2,85.42,89.41,0
10.59,70.9,20.71,41
34.51,47.69,26.76,50
21.6,28.56,64.29,6
37.92,86.31,34.59,16
18.04,90.13,0.15,35
28.34,74.42,25.95,48
12.48,29.47,19.52,42
37.88,30.6,33.73,46
36.32,40.65,43.1,41
25.57,71.41,72.9,0
38.19,37.22,67.41,22
30.88,59.33,43.04,26
23.52,34.52,75.34,0
11.22,72.03,38.38,20
15.5,94.02,41.11,27
38.65,98.07,82.38,0
36.82,28.78,70.77,0
12.81,54.59,9.65,47
14.13,63.3,51.27,14
12.25,58.64,81.71,0
18.76,93.95,93.68,0
10.8,92.06,90.25,0
17.38,36.68,13.66,41
23.6,72.49,28.25,46
24.75,40.61,75.12,0
32.85,61.25,82.67,0
35.57,68.13,11.1,41
15.29,79.85,28.89,50
36.96,45.89,4.2,50
31.4,80.49,63.27,11
26.84,61.02,52.33,8
32.65,87.19,7.69,35
12.24,48.37,16.47,40
21.11,64.98,43.38,33
27.35,46.12,14.0,47
14.46,95.45,57.71,1
12.52,31.17,96.11,0
24.68,74.41,82.6,0
31.87,54.22,87.06,0
14.93,44.5,74.74,0
39.58,75.41,25.93,40
25.89,44.08,78.84,0
34.3,88.81,38.45,26
18.42,89.15,89.23,0
18.43,75.64,86.35,0
15.6,90.2,61.53,0
34.89,76.61,71.44,0
37.98,96.44,44.83,17
37.6,62.42,84.8,0
29.23,99.3,80.4,0
34.54,26.96,63.47,24
34.11,27.32,44.03,29
36.73,52.33,72.21,0
17.27,31.71,46.41,34
15.88,52.15,41.18,29
23.22,63.6,58.16,13
28.72,99.71,72.93,0
12.08,39.0,72.92,0
20.78,68.0,23.74,45
19.35,38.64,6.77,45
28.78,23.21,1.01,46
20.48,89.72,44.71,29
23.38,42.57,87.14,0
24.95,84.94,39.78,26
21.77,55.98,99.13,0
25.55,56.42,44.34,22
21.12,55.5,83.36,0
39.47,44.37,28.74,50
31.78,76.72,93.18,0
24.2,57.01,7.1,49
31.57,34.76,72.71,0
18.36,89.38,82.82,0
16.84,72.42,98.41,0
27.5,70.93,96.06,0
39.09,89.98,45.83,28
14.89,78.02,87.37,0
26.25,58.48,98.49,0
24.92,74.24,71.02,0
10.36,65.36,22.77,44
32.64,76.54,63.69,0
21.07,75.2,96.41,0
26.48,39.77,90.76,0
18.74,22.72,66.38,10
13.4,27.87,71.83,0
14.6,32.01,71.17,0
23.53,33.93,47.69,24
10.33,84.45,21.79,36
17.42,74.49,14.29,45
15.54,57.22,78.89,0
30.53,25.23,22.53,50
15.23,63.2,83.7,0
37.85,70.1,52.14,7
32.13,83.9,42.87,16
14.82,94.45,65.16,1
14.18,98.07,91.75,0
26.95,87.36,3.6,41
39.57,69.49,10.06,45
26.28,48.05,33.13,40
15.31,38.13,74.86,0
20.45,56.14,92.92,0
25.08,20.88,14.08,44
25.74,65.44,89.98,0
35.82,52.68,16.6,50
29.81,89.74,60.79,4
26.7,54.42,57.18,12
20.89,44.44,85.03,0
18.66,65.75,85.65,0
12.79,25.39,26.03,41
36.14,66.41,15.21,50
11.83,99.53,36.02,22
16.19,25.41,4.69,41
20.23,97.04,30.53,34
25.94,94.9,57.2,7
33.66,63.84,6.22,40
24.15,82.46,34.81,24
32.23,28.08,45.8,37
26.7,88.96,1.93,41
27.91,87.35,97.03,0
34.32,91.84,47.68,12
31.85,30.68,54.64,20
29.88,69.27,72.28,0
21.39,31.91,30.39,28
32.85,90.47,34.79,30
32.5,85.28,24.04,35
10.5,98.49,6.96,35
19.13,34.45,34.73,20
22.55,77.45,88.35,0
26.4,89.61,54.35,1
38.1,86.54,16.3,34
18.22,24.68,26.53,45
10.79,20.61,92.64,0
15.26,67.86,71.43,0
28.88,85.43,27.58,33
12.82,20.78,4.56,50
13.73,98.69,84.71,0
29.77,60.67,20.47,40
17.32,71.08,46.88,28
15.99,88.96,73.08,0
22.56,99.87,92.1,0
34.66,76.37,34.04,22
29.95,37.65,69.72,16
38.24,78.65,57.72,14
28.93,52.75,29.99,40
12.93,77.98,15.12,44
20.67,67.02,70.12,0
12.14,39.78,67.3,15
38.9,82.59,54.3,1
18.91,48.98,56.21,18
12.01,42.87,65.66,16
11.9,55.16,77.02,0
29.91,54.57,75.43,0
20.17,23.66,11.1,50
16.15,93.51,10.18,38
22.02,98.77,43.66,15
34.41,47.3,95.6,0
24.28,22.1,49.63,25
16.74,98.4,48.09,18
17.75,63.74,64.78,13
26.99,46.76,94.71,0
29.01,46.81,35.24,34
17.78,46.15,30.42,35
14.35,75.8,71.2,0
14.58,79.0,90.79,0
27.71,30.83,39.66,38
33.82,84.12,29.05,35
14.84,37.96,20.2,40
39.19,51.81,30.13,25
33.08,68.5,49.29,22
25.26,94.22,69.59,1
33.69,60.58,2.34,43
32.57,94.71,38.8,12
13.51,62.82,38.82,30
12.28,75.61,7.18,50
30.82,23.07,5.0,50
12.41,89.44,71.32,0
26.18,30.36,88.24,0
36.84,83.9,94.57,0
17.19,86.96,17.38,39
34.79,78.91,31.12,38
10.33,61.38,10.25,47
29.91,55.67,85.83,0
29.38,51.76,21.2,40
38.83,69.04,95.09,0
17.45,27.85,63.09,9
28.03,39.97,6.54,47
37.77,34.82,16.17,45
19.14,47.19,11.41,45
22.73,89.51,55.77,1
26.11,44.25,36.87,37
19.51,30.01,82.93,0
29.12,63.3,29.35,42
21.52,21.54,57.83,17
33.51,33.44,90.61,0
24.54,96.61,90.99,0
29.96,62.16,5.78,47
35.67,52.12,69.36,14
14.2,44.83,89.25,0
11.18,90.41,83.93,0
16.47,28.37,3.67,46
28.96,62.49,50.55,15
37.25,76.67,33.52,32
23.86,25.33,95.14,0
10.6,63.2,29.81,45
17.3,99.34,83.58,0
25.6,96.11,34.88,17
29.58,20.75,50.69,16
38.51,51.08,58.87,1
25.08,72.68,35.78,29
28.29,83.79,45.93,33
38.15,31.38,89.86,0
35.05,64.92,66.1,16
21.31,53.13,7.56,47
27.12,55.78,65.74,10
21.24,99.01,59.37,1
27.5,72.63,56.94,6
32.14,46.95,95.51,0
34.52,75.03,87.12,0
13.3,84.76,41.78,19
36.94,87.72,91.82,0
25.1,38.7,70.7,0
19.03,65.26,31.44,28
14.99,70.89,27.41,47
36.91,97.51,86.46,0
30.71,63.2,6.27,50
33.87,59.91,7.09,43
20.81,75.16,51.66,4
13.09,33.36,34.06,35
19.54,88.97,96.71,0
36.32,94.56,30.39,24
14.85,21.77,42.25,23
31.19,36.15,54.14,25
22.85,30.5,6.36,43
23.45,94.93,96.4,0
39.53,64.85,7.85,40
27.1,45.97,95.79,0
34.52,96.65,97.31,0
22.57,72.52,91.95,0
17.15,39.73,40.94,27
25.32,40.78,42.75,23
17.27,32.19,76.1,0
25.16,22.93,40.96,31
15.45,72.75,85.38,0
13.32,56.76,7.62,41
36.32,90.93,78.52,0
22.28,49.46,96.68,0
35.48,41.86,11.26,50
19.66,87.36,10.54,39
23.08,77.77,66.3,7
28.83,20.97,25.99,45
38.03,72.91,75.73,0
14.2,53.01,30.29,20
28.55,34.02,37.73,30
10.76,78.62,78.04,0
14.55,56.35,14.73,40
18.46,81.88,37.12,25
31.98,41.85,78.62,0
31.77,81.19,89.31,0
31.07,58.4,70.26,0
20.06,50.56,35.7,40
39.6,27.51,54.17,34
27.51,69.56,57.73,1
37.89,37.91,18.42,50
22.76,60.21,59.51,9
27.31,37.05,90.29,0
38.38,78.08,35.31,36
20.93,84.03,27.62,37
36.9,90.24,39.51,18
30.49,59.38,42.99,21
33.13,84.21,23.5,42
15.34,55.15,91.84,0
24.78,22.49,85.23,0
37.25,91.61,24.2,38
13.36,26.47,36.78,27
15.2,78.53,39.46,28
33.68,82.56,43.27,22
19.58,36.47,68.83,10
10.39,48.43,42.52,39
30.45,72.02,29.33,42
38.21,42.15,53.4,23
27.1,25.14,31.69,30
16.97,53.29,62.24,3
32.42,62.87,68.7,17
25.35,73.19,0.44,46
21.27,64.77,47.25,23
35.35,55.62,30.63,26
32.05,72.54,31.89,36
17.96,53.58,1.24,40
37.43,78.85,46.17,40
36.1,26.57,56.51,18
11.29,90.28,90.95,0
11.36,49.68,36.19,29
14.88,51.91,10.93,45
21.32,94.16,70.25,0
23.04,59.72,50.48,16
29.0,71.39,75.42,0
36.78,36.2,5.46,50
32.45,78.45,31.33,25
15.72,40.18,50.6,0
28.2,43.72,96.01,0
36.72,80.42,36.01,18
12.56,29.72,78.75,0
14.02,68.88,52.26,10
11.41,53.7,86.17,0
37.8,71.36,60.35,2
36.16,26.78,59.36,21
19.76,57.39,49.78,26
37.45,81.67,58.28,1
14.63,97.05,77.4,0
31.85,22.34,74.88,0
35.15,58.87,80.44,0
34.25,75.7,34.95,38
38.62,76.72,65.85,20
30.33,69.35,68.63,10
22.95,27.01,76.76,0
31.67,27.93,33.22,46
24.16,56.84,3.89,49
39.91,35.8,25.1,50
16.19,83.09,75.9,0
25.69,54.09,95.78,0
24.81,34.12,79.29,0
10.44,41.98,7.29,50
38.21,89.49,79.46,0
32.43,81.54,19.58,35
35.87,37.34,22.6,50
19.71,33.99,53.09,4
13.53,51.51,99.38,0
26.83,90.74,94.77,0
12.98,78.12,81.09,0
13.04,74.66,28.0,42
21.16,33.58,43.05,22
10.54,23.33,43.7,22
22.87,39.9,2.54,45
32.87,78.99,52.97,1
25.07,90.95,56.41,1
32.39,74.44,28.15,46
14.68,84.52,27.19,36
20.26,50.07,50.06,12
16.34,61.68,78.18,0
17.74,25.19,39.32,26
28.84,62.64,24.68,42
23.17,49.42,96.28,0
13.41,84.48,7.76,32
35.25,24.98,30.29,32
30.06,85.8,37.91,11
10.76,82.37,79.79,0
22.72,47.98,52.15,7
33.86,99.74,22.82,31
28.66,89.02,47.64,15
21.68,87.53,36.46,26
19.29,22.05,57.35,17
25.6,21.95,70.78,0
11.95,38.4,46.39,37
29.23,87.27,20.92,34
28.97,37.97,37.17,24
29.26,80.66,97.68,0
38.29,74.66,71.94,0
25.43,87.56,98.13,0
16.93,75.11,33.16,33
33.84,91.53,74.32,0
36.71,55.9,37.53,31
13.82,91.37,80.7,0
34.43,48.74,44.64,47
18.6,22.66,48.2,39
30.18,56.18,3.1,45
22.31,83.2,89.02,0
22.38,25.88,16.69,50
15.46,30.27,55.25,15
39.23,50.38,98.07,0
20.91,58.45,18.74,46
34.86,81.46,80.64,0
39.1,79.08,96.4,0
30.37,86.09,50.04,0
10.21,49.82,88.19,0
27.85,40.74,83.9,0
27.82,24.82,69.25,20
27.42,94.25,76.1,0
17.36,87.18,33.56,26
18.43,53.71,5.2,41
13.74,41.2,66.66,13
15.45,76.45,53.24,17
30.16,32.69,14.2,50
13.66,63.16,85.06,0
18.32,38.18,76.18,0
18.46,67.44,79.84,0
26.66,25.43,76.61,0
32.32,59.06,44.77,40
19.76,26.59,82.94,0
27.59,78.99,98.11,0
38.18,95.13,16.58,41
10.81,43.8,59.11,6
31.11,74.42,36.91,29
37.19,80.82,81.11,0
31.93,39.13,2.36,50
27.23,75.37,39.8,34
25.67,36.01,0.77,40
11.55,54.6,97.6,0
21.55,58.52,90.96,0
14.19,60.75,6.57,42
29.48,72.1,88.03,0
24.78,94.48,13.92,32
37.52,96.53,15.73,35
25.57,97.43,77.16,0
25.73,34.19,95.05,0
18.81,43.33,51.24,5
12.52,21.97,11.07,42
28.97,30.31,62.09,14
22.1,36.96,95.51,0
14.91,69.22,48.41,27
37.08,33.41,7.17,50
20.1,44.95,12.56,46
12.21,84.63,13.07,31
10.14,29.71,22.87,42
35.39,82.8,27.47,30
17.48,33.91,31.68,34
27.7,53.9,29.53,50
34.21,56.3,68.84,0
38.52,63.35,24.7,48
37.43,86.0,58.38,1
13.2,56.65,70.49,0
16.39,38.95,70.71,0
35.89,82.91,2.72,29
10.28,81.63,91.81,0
38.97,26.16,60.85,28
14.5,45.23,43.28,26
38.49,68.63,84.7,0
36.63,96.14,95.59,0
13.34,22.43,58.05,15
38.84,77.27,12.3,40
31.4,71.97,96.45,0
12.94,22.45,41.89,33
36.89,35.04,28.25,50
20.52,85.81,40.29,22
28.48,54.04,66.86,1
16.88,75.05,4.39,40
38.62,82.13,3.47,34
16.37,23.15,13.92,42
30.88,71.49,13.15,48
15.07,35.35,62.96,9
15.32,30.47,60.11,20
37.4,23.17,65.22,26
19.62,86.57,63.41,1
10.39,49.77,39.25,39
18.16,68.82,55.27,13
27.81,30.22,95.68,0
11.64,69.97,0.9,45
27.53,45.97,46.27,27
20.03,34.89,43.77,36
30.54,50.42,20.05,40
23.57,68.15,66.24,9
21.1,87.58,99.54,0
21.77,73.4,23.24,42
14.68,63.38,47.63,21
14.09,82.44,5.02,28
27.15,93.82,12.44,34
17.26,76.65,66.5,10
17.55,56.92,98.12,0
24.43,63.96,77.29,0
39.79,73.41,87.0,0
17.74,98.05,83.55,0
28.4,85.04,6.25,32
11.36,58.39,65.1,16
25.83,46.16,53.34,20
31.12,48.27,79.45,0
11.1,80.4,22.09,28
26.31,40.79,14.7,45
35.53,29.38,66.92,24
14.18,43.79,56.02,4
38.88,85.38,70.23,0
13.56,72.71,40.18,24
21.03,86.07,65.11,7
33.95,39.36,74.36,0
21.49,94.65,69.46,12
36.92,66.57,90.72,0
34.1,46.02,58.22,13
32.09,81.97,97.73,0
27.2,24.57,2.75,42
28.6,49.86,20.32,50
23.02,78.17,35.48,23
34.64,51.56,67.96,15
33.86,47.16,11.38,50
39.6,61.25,88.02,0
22.52,77.87,16.22,41
17.12,59.76,67.78,19
18.12,37.08,94.65,0
13.24,48.01,39.6,39
12.83,88.35,69.25,0
29.13,33.36,65.68,14
11.69,37.25,48.89,22
20.68,64.43,25.76,41
31.37,75.49,72.67,0
18.57,98.17,39.51,25
36.88,96.45,50.52,1
36.21,46.64,31.63,46
28.36,75.79,96.34,0
25.98,97.27,52.13,5
15.96,38.69,51.94,2
22.31,51.7,85.72,0
34.28,75.6,10.42,44
33.27,82.12,86.68,0
31.03,22.4,38.95,36
19.43,90.7,15.8,38
